CSL Style,Number of Reference Strings
Annual Reviews,placeholder
APA 6th edition,placeholder
Cambridge University Press,placeholder
Chicago,placeholder
Current Opinion,placeholder
Elsevier (Harvard),placeholder
Elsevier (Vancouver),placeholder
IEEE,placeholder
MLA 7th edition,placeholder
Nature,placeholder
University of New South Wales (Oxford),placeholder
Springer Humanities,placeholder
Springer MathPhys,placeholder
Springer (Vancouver),placeholder
Taylor and Francis (Harvard),placeholder
Wiley-VCH Books,placeholder
